nombre_empleado;edad;departamento;salud;dinero;familia;amor
Mariana Rodríguez;27;Recursos Humanos;25%;2%;18%;24%
Andrea Rodríguez;19;Compras;2%;3%;3%;9%
Laura López;33;Recursos Humanos;25%;12%;3%;9%
Valentina Fernández;41;Sistemas;12%;5%;4%;3%
Laura Rodríguez;61;Finanzas;13%;4%;14%;25%
Camila Gómez;53;Marketing;3%;4%;17%;16%
Mariana Ramírez;61;Compras;19%;17%;6%;10%
Camila Torres;65;Logística;3%;2%;3%;9%
Camila Pérez;20;Sistemas;25%;1%;10%;22%
Mariana Martínez;46;Ventas;16%;14%;3%;24%
Luis Sánchez;33;Finanzas;14%;23%;1%;24%
Laura Martínez;65;Compras;16%;10%;21%;20%
Valentina Pérez;63;Compras;12%;3%;11%;24%
Valentina Arango;44;Finanzas;17%;25%;25%;19%
Pedro Martínez;62;Marketing;5%;2%;3%;3%
Sebastián López;42;Logística;14%;19%;23%;14%
Mariana Sánchez;49;Compras;8%;9%;19%;6%
Carlos Sánchez;46;Sistemas;11%;5%;3%;4%
Mariana Martínez;56;Ventas;17%;1%;11%;22%
Sebastián Gómez;28;Compras;22%;19%;25%;19%
Laura Rodríguez;41;Ventas;17%;8%;12%;19%
Mariana Gómez;33;Ventas;7%;1%;5%;1%
Juan Ramírez;49;Recursos Humanos;21%;18%;4%;13%
Luis Gómez;29;Finanzas;1%;25%;8%;17%
Juan López;22;Compras;14%;4%;25%;12%
Laura Sánchez;61;Logística;10%;4%;16%;15%
Mariana Fernández;32;Recursos Humanos;20%;22%;12%;14%
Valentina Martínez;34;Finanzas;3%;12%;12%;20%
Valentina López;31;Compras;1%;12%;4%;20%
Valentina Martínez;31;Sistemas;19%;7%;1%;15%
Pedro Martínez;57;Producción;11%;1%;19%;9%
Carlos Ramírez;47;Marketing;2%;24%;2%;12%
Laura Ramírez;50;Ventas;11%;11%;14%;12%
Andrea López;20;Ventas;23%;25%;12%;9%
Carlos Gómez;39;Compras;22%;9%;21%;23%
Juan Rodríguez;36;Logística;18%;19%;2%;22%
Mariana Sánchez;34;Sistemas;15%;24%;6%;15%
Juan Gómez;62;Sistemas;12%;7%;11%;4%
Mariana Pérez;19;Finanzas;25%;7%;16%;17%
Camila Fernández;34;Ventas;4%;2%;5%;8%
Laura Fernández;61;Recursos Humanos;6%;1%;12%;20%
Valentina Sánchez;44;Marketing;22%;5%;20%;8%
Sebastián Gómez;61;Logística;4%;23%;14%;14%
Pedro Ramírez;65;Ventas;10%;1%;2%;13%
Valentina Sánchez;43;Sistemas;21%;6%;25%;20%
Juan Arango;22;Ventas;17%;15%;13%;18%
Pedro Torres;44;Producción;8%;18%;24%;23%
Valentina Sánchez;31;Sistemas;21%;10%;14%;23%
Sebastián Pérez;24;Ventas;18%;23%;3%;1%
Sebastián López;51;Compras;8%;24%;22%;12%
Valentina Martínez;22;Marketing;1%;14%;8%;10%
Andrea Fernández;35;Producción;16%;8%;13%;23%
Mariana López;19;Marketing;8%;23%;17%;5%
Juan Rodríguez;30;Finanzas;13%;17%;25%;20%
Valentina López;61;Finanzas;5%;5%;20%;23%
Camila Gómez;22;Finanzas;16%;14%;17%;16%
Juan Arango;41;Ventas;23%;21%;8%;15%
Carlos Sánchez;24;Compras;25%;22%;18%;14%
Camila Torres;62;Logística;5%;8%;3%;8%
Valentina Ramírez;61;Marketing;24%;19%;22%;9%
Juan Pérez;39;Compras;1%;12%;14%;17%
Mariana Pérez;37;Producción;18%;21%;14%;17%
Sebastián Sánchez;49;Logística;6%;21%;1%;14%
Camila Fernández;19;Logística;5%;17%;13%;3%
Pedro Pérez;55;Finanzas;24%;10%;19%;2%
Camila Sánchez;36;Ventas;11%;6%;19%;9%
Camila Pérez;50;Marketing;10%;15%;10%;12%
Juan Fernández;37;Logística;12%;22%;17%;19%
Carlos Fernández;24;Producción;14%;3%;3%;23%
Pedro Arango;39;Ventas;7%;3%;8%;24%
Valentina Rodríguez;63;Ventas;17%;14%;24%;4%
Camila López;41;Compras;5%;18%;3%;10%
Camila Fernández;32;Marketing;3%;6%;24%;19%
Luis Fernández;18;Logística;1%;5%;22%;15%
Luis Arango;29;Marketing;2%;5%;7%;2%
Juan Gómez;60;Logística;15%;25%;23%;3%
Pedro Gómez;18;Recursos Humanos;9%;7%;22%;14%
Camila Rodríguez;44;Ventas;17%;22%;23%;13%
Mariana Ramírez;18;Sistemas;20%;15%;8%;15%
Laura Rodríguez;48;Compras;9%;1%;20%;11%
Valentina Fernández;62;Recursos Humanos;20%;18%;19%;6%
Juan Torres;46;Ventas;19%;8%;11%;6%
Laura Torres;62;Recursos Humanos;8%;20%;11%;21%
Juan Sánchez;35;Finanzas;22%;10%;14%;11%
Laura Gómez;42;Compras;5%;17%;4%;1%
Pedro Martínez;55;Sistemas;2%;15%;20%;24%
Pedro López;51;Compras;19%;13%;7%;9%
Valentina Gómez;21;Marketing;23%;20%;4%;6%
Laura Pérez;58;Marketing;23%;19%;1%;21%
Juan Martínez;58;Producción;9%;8%;14%;24%
Camila Gómez;65;Marketing;20%;9%;14%;13%
Sebastián Gómez;53;Compras;4%;13%;13%;25%
Carlos Gómez;28;Compras;3%;19%;9%;18%
Camila Gómez;40;Recursos Humanos;17%;20%;1%;3%
Camila Arango;51;Marketing;1%;11%;25%;6%
Sebastián Pérez;35;Sistemas;15%;1%;21%;18%
Valentina Pérez;29;Producción;16%;25%;23%;2%
Sebastián Sánchez;42;Sistemas;6%;5%;20%;21%
Andrea Arango;40;Producción;9%;1%;4%;19%
Andrea Rodríguez;64;Finanzas;25%;4%;6%;7%
Luis Fernández;33;Producción;16%;19%;8%;11%
Mariana Fernández;26;Finanzas;6%;12%;1%;4%
Luis López;45;Producción;22%;22%;18%;7%
Valentina Fernández;47;Compras;17%;5%;21%;5%
Mariana Ramírez;22;Recursos Humanos;5%;23%;12%;11%
Andrea Gómez;27;Ventas;18%;22%;18%;3%
Carlos Gómez;47;Ventas;23%;11%;10%;25%
Valentina Arango;22;Recursos Humanos;16%;7%;20%;2%
Laura Pérez;37;Logística;12%;25%;20%;15%
Valentina Torres;60;Sistemas;23%;16%;7%;21%
Andrea Sánchez;48;Compras;11%;7%;11%;2%
Valentina Rodríguez;45;Compras;22%;7%;11%;1%
Carlos Sánchez;23;Logística;9%;9%;24%;24%
Laura Ramírez;53;Sistemas;15%;4%;3%;20%
Valentina Fernández;54;Finanzas;19%;7%;23%;21%
Carlos Gómez;44;Finanzas;8%;1%;13%;22%
Valentina Torres;29;Recursos Humanos;21%;10%;9%;10%
Laura Ramírez;23;Marketing;17%;22%;18%;4%
Sebastián Gómez;48;Producción;7%;5%;16%;1%
Valentina Martínez;43;Recursos Humanos;12%;19%;24%;23%
Luis Pérez;26;Finanzas;11%;9%;6%;15%
Laura Arango;39;Sistemas;21%;18%;14%;23%
Mariana Sánchez;27;Sistemas;21%;2%;20%;11%
Laura Arango;32;Finanzas;7%;2%;7%;5%
Mariana Fernández;50;Recursos Humanos;7%;22%;6%;21%
Sebastián Martínez;60;Marketing;19%;4%;10%;20%
Valentina López;60;Sistemas;18%;22%;21%;10%
Andrea Rodríguez;63;Logística;3%;22%;9%;18%
Pedro Martínez;23;Compras;2%;1%;18%;14%
Camila Rodríguez;22;Finanzas;8%;4%;3%;11%
Luis Gómez;60;Finanzas;3%;4%;22%;22%
Pedro Sánchez;34;Ventas;3%;14%;11%;22%
Carlos López;54;Recursos Humanos;4%;20%;11%;9%
Juan Pérez;56;Logística;13%;12%;3%;8%
Juan López;47;Logística;11%;15%;2%;9%
Pedro Rodríguez;19;Marketing;11%;4%;9%;18%
Mariana Torres;47;Sistemas;22%;1%;14%;3%
Andrea Arango;41;Ventas;5%;1%;18%;3%
Pedro López;40;Ventas;11%;13%;6%;25%
Laura Pérez;57;Recursos Humanos;2%;14%;24%;25%
Laura Sánchez;23;Compras;10%;22%;10%;15%
Camila Martínez;46;Logística;9%;16%;21%;19%
Luis Sánchez;40;Finanzas;24%;12%;16%;18%
Valentina Martínez;33;Producción;14%;1%;25%;13%
Valentina Sánchez;26;Marketing;4%;18%;17%;12%
Valentina Gómez;62;Recursos Humanos;11%;3%;9%;10%
Mariana Gómez;48;Compras;22%;8%;18%;4%
Mariana Fernández;51;Logística;23%;11%;4%;5%
Luis Ramírez;48;Marketing;24%;14%;25%;11%
Sebastián Rodríguez;63;Logística;3%;15%;9%;23%
Mariana Martínez;44;Marketing;13%;19%;8%;22%
Valentina Gómez;33;Recursos Humanos;23%;9%;23%;9%
Andrea López;38;Ventas;16%;2%;20%;22%
Andrea Ramírez;43;Producción;15%;9%;6%;25%
Andrea Fernández;22;Producción;4%;14%;21%;17%
Carlos Ramírez;36;Finanzas;16%;18%;20%;25%
Juan Sánchez;20;Recursos Humanos;5%;3%;21%;4%
Andrea Pérez;26;Ventas;24%;9%;21%;25%
Pedro Rodríguez;38;Marketing;2%;2%;18%;12%
Luis Sánchez;46;Recursos Humanos;25%;24%;18%;19%
Camila Gómez;37;Ventas;13%;22%;19%;17%
Valentina Ramírez;35;Producción;25%;3%;4%;5%
Sebastián Fernández;59;Compras;23%;6%;10%;12%
Juan Ramírez;32;Compras;16%;5%;12%;21%
Sebastián Gómez;25;Sistemas;14%;14%;8%;25%
Juan Fernández;18;Ventas;19%;1%;2%;8%
Pedro Sánchez;65;Sistemas;5%;25%;14%;16%
Andrea Rodríguez;55;Producción;11%;21%;25%;11%
Mariana Sánchez;42;Ventas;4%;14%;25%;24%
Laura Arango;44;Marketing;19%;1%;3%;6%
Mariana Martínez;60;Sistemas;13%;1%;7%;13%
Mariana Torres;61;Producción;5%;21%;20%;21%
Andrea Fernández;61;Recursos Humanos;16%;11%;5%;7%
Mariana López;27;Recursos Humanos;9%;17%;22%;6%
Valentina Sánchez;61;Logística;7%;17%;13%;9%
Carlos Ramírez;23;Logística;12%;8%;5%;13%
Mariana Martínez;20;Producción;12%;5%;3%;15%
Carlos Pérez;54;Marketing;17%;16%;9%;13%
Carlos Fernández;46;Recursos Humanos;20%;4%;3%;21%
Sebastián Torres;55;Producción;3%;25%;16%;2%
Carlos Torres;44;Finanzas;7%;23%;2%;7%
Carlos Arango;33;Recursos Humanos;22%;12%;7%;7%
Mariana Pérez;49;Recursos Humanos;23%;6%;6%;25%
Carlos Ramírez;43;Recursos Humanos;8%;19%;14%;5%
Laura Sánchez;32;Ventas;20%;5%;14%;22%
Carlos Ramírez;38;Producción;14%;2%;1%;18%
Sebastián Torres;43;Finanzas;13%;22%;10%;4%
Juan Ramírez;60;Ventas;12%;23%;2%;20%
Pedro Martínez;20;Ventas;3%;11%;12%;17%
Valentina Martínez;55;Ventas;3%;14%;4%;18%
Valentina Rodríguez;62;Recursos Humanos;16%;2%;24%;9%
Laura Sánchez;22;Sistemas;16%;10%;11%;3%
Andrea Rodríguez;53;Logística;25%;22%;1%;4%
Sebastián Rodríguez;47;Compras;10%;7%;11%;14%
Camila Arango;44;Finanzas;24%;7%;10%;24%
Pedro Rodríguez;49;Sistemas;9%;23%;21%;10%
Camila López;54;Ventas;10%;17%;7%;23%
Andrea Torres;37;Compras;1%;6%;6%;5%
Valentina López;32;Logística;25%;16%;10%;11%
Juan Ramírez;42;Marketing;17%;24%;23%;9%
Luis Fernández;40;Sistemas;15%;14%;5%;1%
Camila Gómez;30;Ventas;9%;22%;18%;25%
Andrea Sánchez;28;Compras;16%;19%;13%;24%
Juan Pérez;22;Recursos Humanos;7%;6%;7%;9%
Camila Pérez;31;Marketing;9%;11%;24%;18%
Carlos Gómez;26;Logística;23%;7%;15%;21%
Camila Torres;39;Compras;1%;18%;23%;8%
Juan Sánchez;37;Producción;25%;25%;16%;22%
Carlos Ramírez;41;Ventas;9%;2%;8%;25%
Carlos Sánchez;23;Logística;19%;12%;3%;8%
Sebastián Rodríguez;65;Producción;11%;18%;13%;4%
Sebastián Rodríguez;46;Ventas;12%;4%;4%;16%
Valentina Torres;30;Logística;15%;12%;12%;25%
Camila Rodríguez;23;Finanzas;5%;19%;24%;1%
Pedro Ramírez;65;Marketing;13%;16%;21%;20%
Carlos Rodríguez;43;Ventas;7%;19%;9%;20%
Camila Martínez;29;Logística;4%;15%;25%;9%
Mariana Rodríguez;32;Marketing;23%;2%;16%;24%
Pedro Gómez;46;Compras;13%;15%;15%;23%
Laura Arango;38;Recursos Humanos;25%;11%;8%;6%
Luis Sánchez;53;Recursos Humanos;11%;11%;12%;7%
Pedro Arango;36;Logística;10%;7%;3%;11%
Camila Sánchez;46;Producción;19%;6%;16%;1%
Andrea López;29;Producción;12%;18%;21%;5%
Juan Torres;55;Ventas;21%;16%;13%;24%
Luis Torres;36;Recursos Humanos;13%;13%;15%;6%
Sebastián Martínez;45;Recursos Humanos;10%;20%;18%;15%
Carlos Gómez;41;Logística;15%;18%;23%;15%
Valentina López;24;Marketing;23%;17%;7%;24%
Mariana Gómez;48;Compras;13%;3%;14%;24%
Laura Fernández;59;Recursos Humanos;12%;6%;16%;10%
Luis Gómez;34;Logística;17%;6%;8%;3%
Juan Fernández;61;Producción;11%;15%;8%;10%
Andrea Gómez;55;Marketing;23%;12%;17%;12%
Carlos Sánchez;50;Logística;2%;4%;2%;19%
Sebastián Torres;20;Marketing;4%;13%;9%;17%
Pedro Martínez;65;Sistemas;4%;12%;15%;2%
Pedro Arango;22;Logística;5%;20%;15%;24%
Pedro Rodríguez;45;Sistemas;8%;3%;19%;16%
Luis Ramírez;29;Ventas;5%;20%;10%;8%
Pedro Arango;56;Ventas;3%;20%;17%;25%
Valentina Gómez;33;Recursos Humanos;4%;13%;10%;3%
Luis Sánchez;30;Compras;17%;20%;25%;12%
Mariana Sánchez;27;Producción;17%;16%;9%;1%
Valentina Torres;64;Compras;8%;6%;19%;3%
Laura Martínez;54;Recursos Humanos;24%;20%;15%;9%
Carlos Torres;22;Compras;22%;16%;9%;4%
Sebastián López;19;Compras;16%;14%;13%;23%
Sebastián Torres;38;Logística;1%;19%;2%;20%
Carlos Torres;44;Sistemas;20%;7%;10%;19%
Carlos Sánchez;25;Compras;10%;15%;22%;16%
Mariana Sánchez;24;Recursos Humanos;18%;17%;7%;10%
Valentina Martínez;43;Sistemas;11%;14%;24%;22%
Juan Gómez;64;Recursos Humanos;8%;21%;6%;6%
Juan Fernández;18;Compras;11%;17%;10%;12%
Pedro Ramírez;24;Finanzas;25%;21%;3%;2%
Mariana Pérez;29;Recursos Humanos;6%;5%;14%;23%
Mariana Arango;62;Finanzas;18%;14%;1%;19%
Juan Rodríguez;36;Finanzas;17%;18%;11%;1%
Valentina Sánchez;45;Recursos Humanos;12%;13%;17%;16%
Laura Fernández;31;Sistemas;2%;11%;6%;4%
Laura Gómez;64;Finanzas;8%;2%;5%;14%
Mariana Torres;55;Logística;4%;21%;21%;1%
Pedro López;19;Recursos Humanos;20%;21%;15%;7%
Andrea Pérez;52;Producción;5%;7%;3%;14%
Camila Fernández;46;Compras;5%;19%;1%;12%
Camila Arango;37;Producción;5%;8%;7%;7%
Valentina Ramírez;47;Sistemas;5%;1%;10%;8%
Juan Torres;64;Producción;2%;10%;7%;18%
Luis Pérez;56;Ventas;16%;8%;23%;2%
Pedro Sánchez;65;Ventas;10%;2%;20%;2%
Juan Arango;19;Recursos Humanos;23%;3%;22%;23%
Valentina Rodríguez;54;Compras;22%;8%;21%;22%
Valentina Sánchez;23;Compras;13%;20%;3%;10%
Valentina Martínez;29;Sistemas;18%;18%;19%;17%
Mariana Sánchez;55;Logística;19%;18%;22%;3%
Pedro Martínez;42;Ventas;15%;15%;5%;11%
Luis Ramírez;44;Sistemas;9%;14%;7%;7%
Valentina Fernández;63;Recursos Humanos;11%;2%;1%;10%
Camila Fernández;62;Producción;10%;3%;9%;23%
Mariana Ramírez;39;Logística;5%;2%;10%;15%
Camila Pérez;61;Marketing;16%;13%;13%;21%
Juan Gómez;33;Marketing;22%;21%;2%;3%
Mariana Rodríguez;59;Recursos Humanos;1%;1%;5%;8%
Juan Martínez;21;Recursos Humanos;25%;23%;7%;19%
Camila Fernández;28;Ventas;7%;12%;2%;17%
Luis Pérez;41;Marketing;10%;16%;6%;8%
Carlos Torres;57;Marketing;17%;6%;16%;17%
Juan Rodríguez;61;Producción;9%;14%;24%;17%
Mariana López;23;Recursos Humanos;5%;15%;23%;12%
Pedro Pérez;19;Sistemas;16%;23%;16%;22%
Mariana Ramírez;52;Logística;2%;20%;11%;13%
Sebastián Martínez;48;Compras;21%;11%;12%;6%
Camila Ramírez;34;Ventas;11%;25%;24%;8%
Luis López;20;Producción;22%;25%;9%;5%
Laura Pérez;37;Finanzas;3%;17%;23%;2%
Laura Fernández;48;Producción;2%;10%;20%;2%
Mariana Torres;44;Sistemas;3%;22%;15%;25%
Luis Gómez;54;Logística;8%;12%;10%;17%
Luis Ramírez;40;Marketing;17%;15%;25%;6%
Valentina Fernández;61;Finanzas;6%;17%;12%;15%
Camila Gómez;37;Logística;10%;9%;21%;2%
Juan Martínez;41;Ventas;23%;21%;1%;25%
Laura Sánchez;64;Compras;11%;7%;10%;7%
Laura Martínez;31;Recursos Humanos;11%;20%;24%;14%
Andrea Ramírez;37;Recursos Humanos;5%;4%;11%;15%
Mariana Sánchez;61;Logística;6%;14%;17%;12%
Valentina Martínez;24;Marketing;25%;17%;1%;13%
Sebastián Ramírez;55;Sistemas;15%;1%;10%;15%
Sebastián Torres;33;Finanzas;8%;23%;6%;12%
Camila Fernández;25;Compras;3%;7%;5%;8%
Valentina Fernández;28;Producción;3%;14%;23%;2%
Valentina Pérez;64;Recursos Humanos;22%;6%;4%;21%
Laura Sánchez;55;Finanzas;17%;6%;8%;19%
Andrea Gómez;48;Logística;21%;15%;10%;14%
Carlos Torres;33;Sistemas;15%;2%;8%;19%
Juan Pérez;34;Compras;8%;20%;2%;19%
Valentina Sánchez;33;Marketing;19%;21%;10%;5%
Valentina Pérez;22;Marketing;23%;8%;16%;13%
Carlos Gómez;33;Marketing;14%;21%;23%;9%
Mariana Fernández;39;Finanzas;12%;24%;22%;23%
Juan Torres;18;Sistemas;6%;5%;13%;24%
Laura Rodríguez;63;Producción;7%;4%;12%;1%
Carlos Fernández;45;Ventas;8%;20%;15%;25%
Pedro Gómez;61;Finanzas;9%;12%;18%;20%
Pedro Fernández;54;Compras;19%;24%;10%;9%
Andrea Gómez;42;Sistemas;25%;4%;11%;4%
Camila López;61;Recursos Humanos;15%;2%;17%;1%
Valentina López;46;Sistemas;4%;19%;8%;14%
Carlos Rodríguez;19;Sistemas;18%;24%;7%;10%
Andrea Sánchez;39;Logística;15%;6%;12%;6%
Mariana Ramírez;65;Ventas;16%;3%;17%;5%
Laura Pérez;60;Finanzas;5%;2%;21%;1%
Carlos Sánchez;29;Marketing;22%;19%;20%;20%
Carlos Martínez;50;Marketing;17%;23%;15%;10%
Luis Ramírez;38;Logística;9%;21%;11%;19%
Sebastián Fernández;56;Sistemas;5%;5%;2%;21%
Andrea Torres;40;Finanzas;17%;25%;4%;12%
Luis Martínez;59;Recursos Humanos;17%;20%;18%;4%
Valentina Sánchez;30;Sistemas;1%;1%;19%;12%
Carlos Gómez;39;Producción;21%;5%;22%;10%
Valentina Torres;30;Finanzas;10%;2%;18%;25%
Juan Pérez;63;Recursos Humanos;10%;5%;14%;12%
Mariana Fernández;31;Recursos Humanos;23%;6%;1%;19%
Carlos Fernández;62;Recursos Humanos;19%;6%;8%;24%
Andrea López;27;Finanzas;17%;19%;10%;3%
Sebastián López;51;Recursos Humanos;13%;20%;21%;5%
Sebastián Rodríguez;25;Producción;23%;22%;14%;2%
Valentina Ramírez;39;Ventas;14%;21%;18%;10%
Mariana López;29;Logística;7%;8%;22%;16%
Pedro Fernández;29;Marketing;23%;25%;1%;18%
Andrea Torres;44;Marketing;10%;1%;6%;18%
Carlos Pérez;60;Recursos Humanos;3%;19%;20%;13%
Juan Rodríguez;63;Producción;4%;19%;4%;20%
Camila Rodríguez;35;Recursos Humanos;7%;6%;14%;12%
Laura Rodríguez;47;Sistemas;9%;19%;12%;22%
Luis Fernández;37;Logística;17%;16%;13%;18%
Andrea Rodríguez;62;Compras;8%;17%;24%;23%
Pedro Arango;63;Producción;13%;8%;5%;2%
Carlos Sánchez;36;Ventas;10%;9%;25%;22%
Juan Sánchez;34;Logística;18%;21%;10%;11%
Mariana Arango;38;Compras;16%;8%;7%;8%
Valentina Torres;43;Sistemas;11%;8%;21%;19%
Valentina López;31;Finanzas;12%;24%;8%;7%
Luis Martínez;39;Finanzas;16%;2%;6%;22%
Andrea Ramírez;47;Sistemas;2%;23%;13%;2%
Pedro López;49;Marketing;5%;25%;19%;5%
Pedro Martínez;26;Finanzas;17%;2%;20%;21%
Sebastián Gómez;27;Ventas;23%;6%;22%;13%
Sebastián Arango;43;Sistemas;19%;25%;14%;22%
Carlos Martínez;65;Compras;7%;23%;21%;1%
Valentina Fernández;32;Compras;3%;25%;1%;20%
Laura Gómez;41;Finanzas;18%;16%;6%;21%
Luis Torres;33;Logística;16%;24%;11%;25%
Luis López;61;Compras;9%;2%;8%;19%
Mariana Torres;57;Producción;12%;24%;15%;3%
Luis Ramírez;24;Compras;14%;15%;20%;25%
Valentina Martínez;20;Logística;22%;11%;16%;4%
Camila Martínez;45;Recursos Humanos;1%;6%;23%;23%
Luis Arango;57;Ventas;18%;19%;5%;13%
Andrea Gómez;23;Logística;4%;20%;9%;20%
Laura Gómez;47;Ventas;13%;22%;20%;11%
Carlos Pérez;53;Recursos Humanos;17%;11%;6%;9%
Camila Martínez;46;Producción;22%;9%;14%;2%
Sebastián Ramírez;54;Ventas;14%;21%;13%;2%
Mariana López;22;Producción;14%;4%;24%;8%
Valentina Sánchez;24;Producción;16%;15%;10%;17%
Sebastián Rodríguez;49;Compras;16%;19%;8%;11%
Luis Gómez;55;Marketing;2%;20%;7%;6%
Mariana Sánchez;60;Sistemas;11%;1%;1%;20%
Juan Martínez;27;Recursos Humanos;1%;25%;16%;25%
Andrea Sánchez;47;Marketing;16%;15%;20%;6%
Valentina Martínez;36;Compras;13%;16%;5%;9%
Pedro Ramírez;49;Marketing;21%;14%;21%;25%
Camila Fernández;43;Logística;6%;12%;23%;6%
Luis Martínez;39;Ventas;22%;20%;11%;13%
Luis Fernández;60;Sistemas;7%;4%;22%;2%
Sebastián Gómez;62;Recursos Humanos;10%;17%;21%;18%
Luis Gómez;59;Recursos Humanos;14%;3%;13%;21%
Pedro Fernández;51;Recursos Humanos;20%;18%;23%;19%
Luis López;31;Finanzas;4%;5%;11%;19%
Camila Pérez;63;Producción;13%;25%;21%;1%
Juan Ramírez;40;Ventas;4%;12%;20%;8%
Camila Torres;18;Ventas;2%;15%;23%;2%
Andrea López;29;Ventas;4%;23%;22%;8%
Andrea Fernández;42;Producción;7%;11%;22%;20%
Andrea Rodríguez;65;Sistemas;15%;10%;20%;7%
Pedro Torres;40;Finanzas;19%;11%;14%;8%
Juan Fernández;35;Compras;18%;23%;18%;20%
Laura Torres;27;Recursos Humanos;20%;21%;15%;13%
Mariana Torres;56;Ventas;21%;1%;10%;13%
Luis Ramírez;39;Logística;6%;22%;15%;21%
Camila Gómez;27;Finanzas;24%;12%;14%;13%
Sebastián Rodríguez;25;Finanzas;8%;4%;23%;14%
Juan López;36;Finanzas;16%;1%;8%;16%
Juan Gómez;62;Recursos Humanos;3%;22%;25%;21%
Mariana Rodríguez;31;Logística;16%;20%;6%;16%
Andrea Sánchez;35;Recursos Humanos;10%;9%;2%;13%
Camila Gómez;22;Finanzas;17%;8%;14%;9%
Pedro Martínez;29;Producción;18%;15%;22%;9%
Valentina Sánchez;23;Marketing;4%;6%;25%;16%
Luis Pérez;34;Compras;15%;12%;18%;22%
Valentina López;35;Recursos Humanos;14%;10%;5%;8%
Carlos Martínez;48;Logística;14%;11%;23%;25%
Laura Gómez;49;Producción;25%;21%;14%;3%
Valentina Sánchez;19;Sistemas;22%;19%;18%;23%
Sebastián Pérez;35;Finanzas;17%;16%;23%;10%
Luis Gómez;39;Marketing;5%;14%;21%;8%
Juan Ramírez;65;Finanzas;3%;5%;15%;23%
Camila Sánchez;38;Recursos Humanos;18%;20%;6%;10%
Laura López;52;Finanzas;15%;7%;22%;24%
Andrea Arango;21;Marketing;15%;10%;4%;25%
Valentina Martínez;65;Producción;10%;10%;24%;23%
Laura López;61;Ventas;18%;15%;15%;2%
Pedro Fernández;52;Finanzas;1%;7%;7%;21%
Valentina Gómez;38;Marketing;16%;12%;20%;21%
Andrea Fernández;38;Ventas;18%;18%;19%;6%
Andrea Sánchez;18;Recursos Humanos;4%;2%;21%;20%
Carlos Martínez;25;Recursos Humanos;14%;7%;3%;3%
Luis Sánchez;40;Producción;25%;6%;5%;5%
Camila Arango;33;Recursos Humanos;16%;13%;18%;11%
Andrea Rodríguez;26;Marketing;5%;22%;5%;2%
Sebastián Torres;26;Finanzas;13%;15%;22%;3%
Camila Fernández;33;Sistemas;13%;11%;21%;20%
Camila Martínez;63;Compras;1%;24%;9%;16%
Carlos Martínez;49;Ventas;24%;6%;11%;13%
Sebastián Torres;62;Compras;19%;18%;7%;25%
Sebastián Arango;49;Marketing;17%;4%;13%;2%
Pedro López;40;Marketing;3%;1%;16%;7%
Pedro Rodríguez;60;Sistemas;2%;3%;22%;23%
Luis Martínez;63;Finanzas;7%;15%;2%;15%
Mariana Gómez;31;Recursos Humanos;10%;5%;23%;17%
Carlos Fernández;39;Ventas;5%;6%;17%;7%
Camila Fernández;42;Logística;18%;7%;5%;2%
Sebastián López;51;Marketing;8%;13%;13%;20%
Carlos Pérez;61;Ventas;7%;12%;15%;6%
Mariana López;34;Finanzas;12%;10%;20%;15%
Andrea Fernández;61;Marketing;13%;19%;21%;23%
Carlos Arango;21;Compras;18%;21%;12%;19%
Pedro Arango;31;Sistemas;13%;5%;5%;9%
Andrea Rodríguez;57;Producción;17%;20%;13%;9%
Luis Rodríguez;56;Finanzas;8%;7%;12%;7%
Luis López;22;Marketing;22%;19%;14%;10%
Carlos Sánchez;40;Marketing;7%;1%;23%;25%
Luis Rodríguez;36;Marketing;22%;23%;7%;22%
Valentina Arango;47;Logística;9%;11%;15%;10%
Carlos Sánchez;63;Logística;4%;5%;4%;24%
Valentina Gómez;57;Logística;20%;16%;3%;23%
Luis Arango;55;Finanzas;5%;2%;10%;2%
Luis Ramírez;34;Recursos Humanos;23%;2%;25%;18%
Mariana Torres;53;Ventas;22%;13%;8%;21%
Carlos Fernández;64;Sistemas;3%;17%;17%;17%
Pedro Arango;21;Logística;1%;20%;22%;7%
Carlos Fernández;43;Finanzas;12%;15%;16%;6%
Sebastián Pérez;40;Producción;20%;24%;10%;15%
Pedro López;57;Sistemas;23%;23%;21%;13%
Luis Pérez;19;Sistemas;20%;21%;5%;9%
Pedro Arango;32;Recursos Humanos;5%;21%;23%;13%
Sebastián Rodríguez;27;Recursos Humanos;20%;25%;9%;19%
Andrea López;61;Sistemas;11%;2%;6%;12%
Sebastián Torres;55;Recursos Humanos;19%;7%;8%;19%
Camila Sánchez;40;Finanzas;2%;1%;9%;22%
Carlos Pérez;60;Ventas;3%;21%;19%;17%
Sebastián Sánchez;58;Ventas;9%;1%;19%;12%
Carlos Arango;45;Compras;21%;7%;22%;11%
Luis Arango;33;Logística;14%;8%;14%;16%
Luis Torres;48;Ventas;19%;21%;12%;17%
Pedro Martínez;33;Producción;16%;2%;7%;25%
Valentina Sánchez;60;Compras;20%;23%;22%;14%
Camila Torres;22;Producción;15%;10%;14%;24%
Pedro Torres;51;Recursos Humanos;19%;13%;4%;20%
Carlos Torres;24;Ventas;14%;2%;12%;17%
Carlos Martínez;61;Sistemas;22%;3%;2%;16%
Pedro Arango;29;Recursos Humanos;2%;23%;18%;2%
Laura Ramírez;39;Logística;11%;13%;16%;11%
